time,commit,dataset,experiment,variant,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-06T15:02:15,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,42,32,0.7218934911242604,0.7218259629101283,0.790625,0.7546607009694258,0.4376200482538586,0.7774660451197053,0.7557364914877869
2026-09-06T15:02:35,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,123,32,0.6889264581572274,0.6683168316831684,0.84375,0.7458563535911602,0.37504153039869087,0.773316643646409,0.7633898305084745
2026-09-06T15:03:04,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,456,32,0.7218934911242604,0.7205673758865249,0.79375,0.7553903345724907,0.43763195158307017,0.7809104511970535,0.7606652205350687
2026-09-06T15:03:38,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,789,32,0.6956889264581573,0.6832460732984293,0.815625,0.7435897435897436,0.38546286018571835,0.7707757826887661,0.7625043721580972
2026-09-06T15:04:08,nogit,TwiBot-20,diagnose_order,keep,transformer,keep,2024,32,0.7109044801352493,0.6981382978723404,0.8203125,0.7543103448275862,0.4165375720636387,0.7772185773480663,0.7520282186948853
2026-09-06T15:04:39,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,42,32,0.705832628909552,0.6957104557640751,0.8109375,0.7489177489177489,0.40564891833370303,0.7762287062615101,0.7586206896551724
2026-09-06T15:05:10,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,123,32,0.702451394759087,0.6940700808625337,0.8046875,0.7452966714905933,0.39845107907484645,0.7811406537753223,0.7584973166368515
2026-09-06T15:05:36,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,456,32,0.7075232459847844,0.6970509383378016,0.8125,0.7503607503607503,0.40916358959782023,0.7770229051565376,0.7587939698492462
2026-09-06T15:06:05,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,789,32,0.6863905325443787,0.669609079445145,0.8296875,0.741102581995813,0.3680266987601742,0.7674119475138121,0.7587853974752644
2026-09-06T15:06:36,nogit,TwiBot-20,diagnose_order,shuffle,transformer,shuffle,2024,32,0.6965342349957735,0.6916780354706685,0.7921875,0.7385287691187181,0.3859204848050479,0.773892150092081,0.7571273908336341
2026-09-06T15:07:02,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,42,32,0.7083685545224007,0.6969292389853138,0.815625,0.7516198704103672,0.4110792062299067,0.779886049723757,0.7610241820768137
2026-09-06T15:07:30,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,123,32,0.6931530008453085,0.6746532156368222,0.8359375,0.7466852756454989,0.38246067336945155,0.7740475368324127,0.7648261758691206
2026-09-06T15:08:01,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,456,32,0.7032967032967034,0.7026647966339411,0.7828125,0.7405764966740577,0.39958847294551,0.7756100368324126,0.7514705882352941
2026-09-06T15:08:39,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,789,32,0.6880811496196112,0.6775884665792923,0.8078125,0.736992159657876,0.36944905424997093,0.7605202578268877,0.7592463363572924
2026-09-06T15:09:11,nogit,TwiBot-20,diagnose_order,reverse,transformer,reverse,2024,32,0.6982248520710059,0.6821106821106822,0.828125,0.748059280169372,0.39175092568762154,0.779520603130755,0.7561567811307666
2026-09-06T15:09:20,nogit,TwiBot-20,diagnose_order,bag,bag,keep,42,32,0.6745562130177515,0.6753782668500687,0.7671875,0.7183613752743233,0.34049979762423993,0.7287954650092081,0.728992360858494
2026-09-06T15:09:26,nogit,TwiBot-20,diagnose_order,bag,bag,keep,123,32,0.6584953508030431,0.649746192893401,0.8,0.7170868347338936,0.30823616517146973,0.7257280156537753,0.7320169252468265
