time,commit,dataset,experiment,variant,feat_group,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-08T12:10:26,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,42,16,0.7147267322204436,0.3502626970227671,0.08605851979345955,0.1381692573402418,0.050582345898533485,0.5702040935017375,0.13368027321515694
2026-09-08T12:17:22,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,123,16,0.7206723073404985,0.37731958762886597,0.07874354561101549,0.13029547881808473,0.06121638470201809,0.5650980372975641,0.1238205595100149
2026-09-08T12:23:04,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,456,16,0.7246741367482278,0.40582959641255606,0.07788296041308089,0.13068592057761733,0.07352718867280829,0.5631779688045236,0.11527178602243315
2026-09-08T12:27:22,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,789,16,0.7253601646466956,0.3673469387755102,0.04647160068846816,0.0825057295645531,0.04290942867045592,0.5716112548248786,0.11223962816319503
2026-09-08T12:33:25,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,2024,16,0.7197576034758747,0.3657505285412262,0.07444061962134252,0.12370396853771899,0.054147883823083866,0.5589428497457374,0.1291296327352004
2026-09-08T12:40:37,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,7,16,0.7189572375943288,0.33737864077669905,0.05981067125645439,0.10160818713450293,0.036069303928395184,0.5695861257907012,0.11815754339118825
2026-09-08T12:48:27,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,13,16,0.7188428996112508,0.399702823179792,0.1157487091222031,0.17951284617951282,0.08757712167409805,0.5624797316239196,0.141691987845834
2026-09-08T12:55:48,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,99,16,0.723645094900526,0.37047353760445684,0.0572289156626506,0.09914275065225493,0.04906397790382576,0.5564069576343367,0.12436974789915967
2026-09-08T13:03:37,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,2025,16,0.7188428996112508,0.35668789808917195,0.07228915662650602,0.12021466905187835,0.04913193199327176,0.561845482209123,0.11992005329780146
2026-09-08T13:09:21,0054345,TwiBot-22,order_dt,keep_base,base,transformer,keep,314,16,0.7211296592728105,0.37250554323725055,0.07228915662650602,0.12108108108108107,0.056369321612972006,0.5729534568402184,0.11740544240972103
