time,commit,dataset,experiment,variant,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-06T16:53:19,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,42,32,0.7151310228233305,0.7161198288159771,0.784375,0.7486950037285608,0.42381072785523194,0.7785105893186004,0.7562776957163959
2026-09-06T16:53:35,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,123,32,0.6914623837700761,0.6678876678876678,0.8546875,0.7498286497601097,0.3819567565960201,0.7741540055248619,0.764288129861346
2026-09-06T16:53:57,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,456,32,0.7185122569737954,0.7247437774524158,0.7734375,0.7482993197278912,0.4309618499770995,0.7796817449355432,0.7569955817378498
2026-09-06T16:54:21,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,789,32,0.6923076923076923,0.680628272251309,0.8125,0.7407407407407407,0.37836918746354137,0.768519797421731,0.7607105538140021
2026-09-06T16:54:42,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,2024,32,0.7007607776838546,0.6828644501278772,0.834375,0.7510548523206751,0.39756429646519276,0.77552658839779,0.7571873917561482
2026-09-06T16:55:02,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,7,32,0.7032967032967034,0.6924101198402131,0.8125,0.7476635514018691,0.4006222953951466,0.7748359806629834,0.7588652482269503
2026-09-06T16:55:22,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,13,32,0.7125950972104819,0.7205882352941176,0.765625,0.7424242424242424,0.4190340574127127,0.7886337476979741,0.7515015015015015
2026-09-06T16:55:50,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,99,32,0.6906170752324599,0.6734177215189874,0.83125,0.7440559440559441,0.3767615207279716,0.7734749079189687,0.7561397440332065
2026-09-06T16:56:17,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,2025,32,0.702451394759087,0.6940700808625337,0.8046875,0.7452966714905933,0.39845107907484645,0.7765193370165745,0.7558432218626393
2026-09-06T16:56:49,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,314,32,0.6906170752324599,0.6831550802139037,0.7984375,0.7363112391930836,0.37408573313571286,0.7623273480662983,0.7492897727272727
2026-09-06T16:57:08,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,1618,32,0.7134404057480981,0.7159253945480631,0.7796875,0.7464472700074795,0.42038988256389503,0.7724677716390425,0.7526644615950019
2026-09-06T16:57:33,02f1db0,TwiBot-20,diagnose_order,keep,transformer,keep,271,32,0.6973795435333897,0.6905405405405406,0.7984375,0.7405797101449275,0.3878601405479345,0.7793134208103131,0.7605732261447047
