variant,seed,f1,auc,best_dev_f1,accuracy
dtg_main,42,0.8795180722891567,0.9344152854511972,0.8826325411334552,0.8647506339814032
dtg_main,123,0.8822652757078987,0.935842541436464,0.884393063583815,0.8664412510566357
dtg_main,456,0.8689655172413794,0.9341246546961326,0.88470066518847,0.8554522400676247
dtg_main,789,0.8791697553743514,0.9338426565377532,0.8829863603732949,0.8622147083685545
dtg_main,2024,0.880597014925373,0.934717426335175,0.8835516739446871,0.8647506339814032
dtg_main,7,0.8774289985052317,0.9305622697974218,0.8837887067395264,0.8613693998309383
dtg_main,13,0.873771730914588,0.9311032458563536,0.8817442719881745,0.8588334742180896
dtg_main,99,0.8793486306439674,0.9324211556169428,0.8818897637795277,0.8622147083685545
dtg_main,2025,0.8820435762584524,0.9348613029465932,0.8867030965391621,0.8672865595942519
dtg_main,314,0.8766086298258895,0.935882826887661,0.8857247170500182,0.8622147083685545
dtg_main,1618,0.8770614692653674,0.9387661141804788,0.8840102451518478,0.8613693998309383
dtg_main,271,0.8827893175074184,0.9339232274401472,0.8842257597684514,0.8664412510566357
dtg_main,577,0.886094674556213,0.933888697053407,0.8866571018651364,0.8698224852071006
dtg_main,999,0.8711379050489827,0.9338627992633516,0.8850072780203785,0.8554522400676247
dtg_main,8128,0.8773513920240783,0.9314514272559852,0.8838053740014524,0.8622147083685545
abl_v_micro,42,0.7479912344777211,0.7808241252302026,0.7561235356762513,0.7083685545224007
abl_v_micro,123,0.7505330490405117,0.7754273135359117,0.762137617883339,0.7032967032967034
abl_v_micro,456,0.7407932011331444,0.7697801565377533,0.7635738831615121,0.6906170752324599
abl_v_micro,789,0.7319804058782367,0.7566499769797421,0.7523576667830947,0.6762468300929839
abl_v_micro,2024,0.7505617977528091,0.7853447283609577,0.7602512005910601,0.7185122569737954
abl_v_micro,7,0.7534345625451916,0.7897099447513811,0.7568529725881096,0.7117497886728656
abl_v_micro,13,0.7436084733382031,0.775031652854512,0.7571068729758906,0.7032967032967034
abl_v_micro,99,0.7521994134897361,0.7799810082872929,0.7526334907373774,0.7142857142857143
abl_v_micro,2025,0.7428150331613854,0.7837678406998159,0.7620764239365536,0.7049873203719358
abl_v_micro,314,0.7498228206945429,0.7870885128913444,0.7655268667131891,0.7016060862214708
abl_v_micro,1618,0.7373737373737373,0.775828729281768,0.7560014331780723,0.6923076923076923
abl_v_micro,271,0.745154343144293,0.7804040055248619,0.7573295655245496,0.6999154691462384
abl_v_micro,577,0.7374631268436579,0.77292817679558,0.759841097869267,0.6990701606086221
abl_v_micro,999,0.7581699346405228,0.7807550644567218,0.7632331902718168,0.7185122569737954
abl_v_micro,8128,0.7556742323097463,0.779431399631676,0.761311475409836,0.6906170752324599
abl_v_macro,42,0.8816083395383469,0.9317794659300184,0.8872936109117013,0.8655959425190194
abl_v_macro,123,0.87856071964018,0.9304788213627992,0.8858181818181817,0.8630600169061707
abl_v_macro,456,0.8734082397003745,0.9317794659300184,0.887032328369052,0.8571428571428571
abl_v_macro,789,0.8769574944071588,0.93211038213628,0.8813314037626628,0.8605240912933221
abl_v_macro,2024,0.8814317673378075,0.93056514732965,0.8852813852813852,0.8655959425190194
abl_v_macro,7,0.8781575037147102,0.9322887891344384,0.8868876080691642,0.8613693998309383
abl_v_macro,13,0.8822205551387847,0.9346253453038674,0.887762490948588,0.8672865595942519
abl_v_macro,99,0.8787878787878787,0.931488835174954,0.888241718238078,0.8647506339814032
abl_v_macro,2025,0.8781954887218045,0.9339692679558012,0.8847283406754772,0.8630600169061707
abl_v_macro,314,0.8753709198813057,0.931999597145488,0.8892096715987008,0.8579881656804734
abl_v_macro,1618,0.8734939759036144,0.9354770948434622,0.8855575868372942,0.8579881656804734
abl_v_macro,271,0.8734082397003745,0.93716620626151,0.8885651857246905,0.8571428571428571
abl_v_macro,577,0.8792198049512379,0.9348613029465932,0.8881578947368421,0.863905325443787
abl_v_macro,999,0.87856071964018,0.929926335174954,0.8833333333333334,0.8630600169061707
abl_v_macro,8128,0.881077038145101,0.9327981123388582,0.8827984132708258,0.8655959425190194
abl_v_global,42,0.8766086298258895,0.929911947513812,0.8862056348335163,0.8622147083685545
abl_v_global,123,0.8810051736881006,0.929074585635359,0.8845050215208035,0.863905325443787
abl_v_global,456,0.8739867354458364,0.9244072283609576,0.8812589413447783,0.8554522400676247
abl_v_global,789,0.872260015117158,0.9304558011049724,0.8825046040515653,0.8571428571428571
abl_v_global,2024,0.8805309734513274,0.92693082412523,0.8855400071761752,0.8630600169061707
abl_v_global,7,0.8708938120702827,0.9323319521178636,0.8847721378288254,0.8571428571428571
abl_v_global,13,0.8727272727272727,0.9305363720073664,0.8871681415929205,0.8579881656804734
abl_v_global,99,0.8766917293233082,0.9317046500920813,0.8888888888888888,0.8613693998309383
abl_v_global,2025,0.8810240963855421,0.9319348526703498,0.8852941176470589,0.8664412510566357
abl_v_global,314,0.8725925925925925,0.9334167817679558,0.8891296496930301,0.8546069315300084
abl_v_global,1618,0.8781954887218045,0.930404005524862,0.8853294503094283,0.8630600169061707
abl_v_global,271,0.882923191648024,0.9359403775322284,0.8872832369942197,0.8672865595942519
abl_v_global,577,0.8716012084592145,0.9302227209944752,0.8880760790051206,0.8562975486052409
abl_v_global,999,0.8810240963855421,0.9331434162062616,0.8858913598250092,0.8664412510566357
abl_v_global,8128,0.8817365269461077,0.9314025092081032,0.8853059728838402,0.8664412510566357
abl_v_micro_macro,42,0.8837555886736215,0.934564917127072,0.8857556037599422,0.8681318681318682
abl_v_micro_macro,123,0.8794007490636704,0.933131906077348,0.886396526772793,0.863905325443787
abl_v_micro_macro,456,0.8789712556732224,0.9359461325966852,0.8842337375964718,0.8647506339814032
abl_v_micro_macro,789,0.8835462058602553,0.9322600138121548,0.8836191171105436,0.8689771766694844
abl_v_micro_macro,2024,0.8766917293233082,0.933704534990792,0.8873445501097293,0.8613693998309383
abl_v_micro_macro,7,0.8704268292682927,0.93369014732965,0.8875000000000001,0.8562975486052409
abl_v_micro_macro,13,0.8817365269461077,0.9358166436464088,0.8851032982964842,0.8664412510566357
abl_v_micro_macro,99,0.8751857355126299,0.933290170349908,0.8839059674502712,0.8579881656804734
abl_v_micro_macro,2025,0.8769811320754718,0.9363432320441988,0.8897839619187111,0.8622147083685545
abl_v_micro_macro,314,0.8802395209580838,0.9348814456721916,0.886620488516223,0.8647506339814032
abl_v_micro_macro,1618,0.8804751299183371,0.9376899171270718,0.8853754940711464,0.863905325443787
abl_v_micro_macro,271,0.876570583887657,0.9338138812154696,0.8904011461318052,0.8588334742180896
abl_v_micro_macro,577,0.8830975428145942,0.9366108425414365,0.886396526772793,0.8672865595942519
abl_v_micro_macro,999,0.8812546676624347,0.9336584944751384,0.8840736728060671,0.8655959425190194
abl_v_micro_macro,8128,0.8745304282494366,0.9353648710865562,0.887032328369052,0.8588334742180896
abl_v_micro_global,42,0.8823959094229364,0.9323463397790056,0.884450784593438,0.863905325443787
abl_v_micro_global,123,0.8808988764044943,0.9326945211786372,0.8832968636032094,0.8655959425190194
abl_v_micro_global,456,0.8779026217228465,0.9356238489871086,0.8820960698689957,0.8622147083685545
abl_v_micro_global,789,0.882923191648024,0.9321449125230202,0.8842945230322815,0.8672865595942519
abl_v_micro_global,2024,0.8810240963855421,0.933816758747698,0.8855243722304283,0.8664412510566357
abl_v_micro_global,7,0.8777943368107303,0.931696017495396,0.8842408943382619,0.8613693998309383
abl_v_micro_global,13,0.8753709198813057,0.9349274861878454,0.8858480374504861,0.8579881656804734
abl_v_micro_global,99,0.8789237668161435,0.9346713858195212,0.8874364560639071,0.8630600169061707
abl_v_micro_global,2025,0.8723723723723724,0.930165170349908,0.8841573439191628,0.8562975486052409
abl_v_micro_global,314,0.874162323157111,0.9327261740331492,0.8864549105512961,0.8571428571428571
abl_v_micro_global,1618,0.8826568265682657,0.9372036141804788,0.8848920863309352,0.8655959425190194
abl_v_micro_global,271,0.8837897853441895,0.931848526703499,0.8850325379609545,0.8672865595942519
abl_v_micro_global,577,0.8784082535003684,0.9313363259668508,0.8839381961911607,0.8605240912933221
abl_v_micro_global,999,0.8769811320754718,0.9361389272559852,0.885641213006942,0.8622147083685545
abl_v_micro_global,8128,0.8859060402684564,0.9370079419889502,0.8834845735027222,0.8706677937447168
abl_v_macro_global,42,0.8796433878157505,0.9304471685082872,0.8815742397137746,0.8630600169061707
abl_v_macro_global,123,0.8793486306439674,0.9272732504604052,0.8837042354630295,0.8622147083685545
abl_v_macro_global,456,0.880354505169867,0.9279581031307552,0.8834048640915593,0.8630600169061707
abl_v_macro_global,789,0.8772189349112426,0.9287292817679558,0.8857244571021716,0.8596787827557059
abl_v_macro_global,2024,0.8735976065818997,0.9269653545119706,0.8820960698689957,0.8571428571428571
abl_v_macro_global,7,0.8745360059391241,0.9265883977900552,0.8844908240374234,0.8571428571428571
abl_v_macro_global,13,0.8845577211394303,0.9308183701657458,0.8858913598250092,0.8698224852071006
abl_v_macro_global,99,0.879154078549849,0.929575276243094,0.8835690968443961,0.8647506339814032
abl_v_macro_global,2025,0.8795355587808419,0.9274833103130756,0.8816526610644257,0.8596787827557059
abl_v_macro_global,314,0.8780852655198206,0.9332498848987107,0.8875912408759123,0.8622147083685545
abl_v_macro_global,1618,0.8857356235997011,0.9336843922651934,0.8852459016393442,0.8706677937447168
abl_v_macro_global,271,0.8814317673378075,0.9330887430939224,0.8864046159394158,0.8655959425190194
abl_v_macro_global,577,0.8755622188905547,0.9280041436464088,0.8863142650253439,0.8596787827557059
abl_v_macro_global,999,0.8698224852071006,0.9239986187845304,0.8852341794780121,0.8512256973795436
abl_v_macro_global,8128,0.8770370370370371,0.9287810773480664,0.8857040487280545,0.8596787827557059
abl_f_concat,42,0.8826568265682657,0.9333362108655616,0.8821621621621623,0.8655959425190194
abl_f_concat,123,0.8878990348923534,0.9363115791896868,0.8861846814602721,0.8723584108199492
abl_f_concat,456,0.8828828828828829,0.9355835635359117,0.8799708135716892,0.8681318681318682
abl_f_concat,789,0.8790383170548459,0.9360223872007366,0.8823529411764707,0.863905325443787
abl_f_concat,2024,0.8823529411764707,0.9377186924493556,0.8834490317866276,0.8681318681318682
abl_f_concat,7,0.8773513920240783,0.9370913904235728,0.8854625550660792,0.8622147083685545
abl_f_concat,13,0.8878990348923534,0.9364094152854512,0.8833151581243185,0.8723584108199492
abl_f_concat,99,0.8812546676624347,0.9350742403314916,0.886396526772793,0.8655959425190194
abl_f_concat,2025,0.880597014925373,0.936527394106814,0.8888086642599279,0.8647506339814032
abl_f_concat,314,0.8843843843843844,0.9353850138121548,0.8855793679622229,0.8698224852071006
abl_f_concat,1618,0.8795888399412628,0.9329851519337018,0.8822898032200358,0.8613693998309383
abl_f_concat,271,0.8882309400444116,0.9384265653775324,0.8887288440763413,0.8723584108199492
abl_f_concat,577,0.8801775147928994,0.93714894106814,0.8869690424766019,0.8630600169061707
abl_f_concat,999,0.875187969924812,0.936527394106814,0.8819648093841642,0.8596787827557059
abl_f_concat,8128,0.882664647993944,0.9369503913443832,0.884079236977256,0.8689771766694844
abl_f_gate,42,0.8839941262848752,0.9377819981583794,0.887937187723055,0.8664412510566357
abl_f_gate,123,0.8811808118081179,0.9329765193370164,0.8846704871060173,0.863905325443787
abl_f_gate,456,0.8729689807976365,0.9283580801104973,0.8827338129496404,0.8546069315300084
abl_f_gate,789,0.8823082763857252,0.9371546961325966,0.8841169937060348,0.8689771766694844
abl_f_gate,2024,0.8819969742813919,0.935307320441989,0.8823959094229363,0.8681318681318682
abl_f_gate,7,0.8767951625094481,0.9365043738489872,0.8882395909422937,0.8622147083685545
abl_f_gate,13,0.8827067669172932,0.9371057780847144,0.8872674206493981,0.8681318681318682
abl_f_gate,99,0.889054355919583,0.935267034990792,0.8861493836113126,0.8740490278951818
abl_f_gate,2025,0.8827893175074184,0.9347634668508288,0.8878604485582058,0.8664412510566357
